song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,12,6,4,D5,74,o,Godin band midpoint,1.098,above,A#3,16.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,5,no,5,middle,yes,not assessed,not assessed,
Sunless 01,12,6,5.5,G#4,68,ɑ,Godin band midpoint,0.366,close,F4,3.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-6,no,5,middle,no,not assessed,not assessed,
Sunless 01,12,6,6,G#4,68,ɑ,Godin band midpoint,0.366,close,F4,3.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,5,last,no,not assessed,not assessed,
Sunless 01,12,7,1,G4,67,e,Godin band midpoint,0.732,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,yes,6,first,no,not assessed,not assessed,
Sunless 01,12,7,2,G4,67,ɑ,Godin band midpoint,0.732,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,6,middle,no,not assessed,not assessed,
Sunless 01,12,7,3,G4,67,u,Godin band midpoint,0.732,crossing,G3,12,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,6,middle,no,not assessed,not assessed,
Sunless 01,12,7,4,A#4,70,ɨ,not assessed,1.098,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,short,leap-up,3,no,6,middle,yes,not assessed,not assessed,
Sunless 01,12,7,5.5,D4,62,ɑ,Godin band midpoint,0.366,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-8,no,6,middle,no,not assessed,not assessed,
Sunless 01,12,7,6,D4,62,ɑ,Godin band midpoint,0.366,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,6,last,no,not assessed,not assessed,
Sunless 01,12,8,1,E4,64,u,Godin band midpoint,0.732,close,G3,9,not assessed,not assessed,not assessed,none,not assessed,short,step,2,yes,7,first,no,not assessed,not assessed,
Sunless 01,12,8,2,C#4,61,ɪ,Godin band midpoint,0.732,close,A#3,3.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,7,middle,no,not assessed,not assessed,
Sunless 01,12,8,3,D4,62,ɪ,Godin band midpoint,0.732,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,7,middle,no,not assessed,not assessed,
Sunless 01,12,8,4,F#4,66,ɛ,Godin band midpoint,0.732,close,F4,1.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,4,no,7,middle,yes,not assessed,not assessed,
Sunless 01,12,8,5,D4,62,ɨ,not assessed,0.366,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,short,leap-down,-4,no,7,last,no,not assessed,not assessed,
Sunless 01,12,8,6.5,C#4,61,ɑ,Godin band midpoint,0.366,open,F4,-3.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,yes,8,first,no,not assessed,not assessed,
Sunless 01,12,9,1,E4,64,ɛ,Godin band midpoint,0.732,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,8,middle,no,not assessed,not assessed,
Sunless 01,12,9,2,C#4,61,ɑ,Godin band midpoint,0.732,open,F4,-3.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,8,middle,no,not assessed,not assessed,
Sunless 01,12,9,3,D4,62,ɑ,Godin band midpoint,0.732,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,8,middle,no,not assessed,not assessed,
Sunless 01,12,9,4,A4,69,ɛ,Godin band midpoint,1.098,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,7,no,8,middle,yes,not assessed,not assessed,
Sunless 01,12,9,5.5,F#4,66,ɑ,Godin band midpoint,0.366,close,F4,1.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,8,middle,no,not assessed,not assessed,
Sunless 01,12,9,6,F#4,66,ɑ,Godin band midpoint,0.366,close,F4,1.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,8,last,no,not assessed,not assessed,
Sunless 01,12,10,1,A#4,70,ɨ,not assessed,0.732,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,short,leap-up,4,yes,9,first,no,not assessed,not assessed,
Sunless 01,12,10,2,E4,64,ɨ,not assessed,0.732,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,short,leap-down,-6,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,10,3,F4,65,ɑ,Godin band midpoint,0.732,close,F4,0.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,10,4,G4,67,o,Godin band midpoint,0.732,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,10,5,A4,69,ʌ,Godin band midpoint,0.732,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,10,6,A#4,70,ɑ,Godin band midpoint,0.732,close,F4,5.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,11,1,C5,72,e,Godin band midpoint,0.732,above,A#3,14.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,9,middle,yes,not assessed,not assessed,
Sunless 01,12,11,2,A#4,70,ɪ,Godin band midpoint,0.732,above,A#3,12.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-2,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,11,3,C5,72,ɑ,Godin band midpoint,0.732,close,F4,7.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,9,middle,yes,not assessed,not assessed,
Sunless 01,12,11,4,G#4,68,e,Godin band midpoint,1.098,close,A#3,10.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,11,5.5,G#4,68,i,Godin band midpoint,0.366,above,G3,13,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,9,middle,no,not assessed,not assessed,
Sunless 01,12,11,6,G#4,68,ɪ,Godin band midpoint,0.366,close,A#3,10.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,9,last,no,not assessed,not assessed,
Sunless 01,12,12,1,G4,67,o,Godin band midpoint,0.732,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,yes,10,first,no,not assessed,not assessed,
Sunless 01,12,12,2,E4,64,ɪ,Godin band midpoint,0.732,close,A#3,6.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,10,middle,no,not assessed,not assessed,
Sunless 01,12,12,3,G4,67,ɑ,Godin band midpoint,0.732,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,10,middle,no,not assessed,not assessed,
Sunless 01,12,12,4,A#4,70,i,Godin band midpoint,0.732,above,G3,15,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,10,middle,yes,not assessed,not assessed,
Sunless 01,12,12,5,G4,67,ɨ,not assessed,0.366,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,short,leap-down,-3,no,10,last,no,not assessed,not assessed,
Sunless 01,12,12,6,G4,67,ɑ,Godin band midpoint,0.732,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,yes,11,first,no,not assessed,not assessed,
Sunless 01,12,13,1,E4,64,ɑ,Godin band midpoint,0.732,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,11,middle,no,not assessed,not assessed,
Sunless 01,12,13,2,D4,62,ɪ,Godin band midpoint,0.732,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-2,no,11,middle,no,not assessed,not assessed,
Sunless 01,12,13,3,E4,64,ɑ,Godin band midpoint,0.732,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,11,middle,no,not assessed,not assessed,
Sunless 01,12,13,4,A#4,70,o,Godin band midpoint,1.098,above,A#3,12.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,6,no,11,middle,yes,not assessed,not assessed,
Sunless 01,12,13,5.5,G4,67,ʌ,Godin band midpoint,0.366,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,11,middle,no,not assessed,not assessed,
Sunless 01,12,13,6,G4,67,ɪ,Godin band midpoint,0.366,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,11,last,no,not assessed,not assessed,
Sunless 01,12,14,1,A#4,70,o,Godin band midpoint,0.732,above,A#3,12.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,yes,12,first,no,not assessed,not assessed,
Sunless 01,12,14,2,A4,69,ʌ,Godin band midpoint,0.732,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,14,3,G4,67,ɑ,Godin band midpoint,0.732,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-2,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,14,4,A#4,70,e,Godin band midpoint,1.098,above,A#3,12.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,14,5.5,A4,69,i,Godin band midpoint,0.366,above,G3,14,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,14,6,A4,69,ɪ,Godin band midpoint,0.732,close,A#3,11.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,15,1,A#4,70,o,Godin band midpoint,0.732,above,A#3,12.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,15,2,A4,69,ʌ,Godin band midpoint,0.732,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,15,3,G4,67,ɪ,Godin band midpoint,0.732,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-2,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,15,4,C#5,73,e,Godin band midpoint,1.098,above,A#3,15.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,6,no,12,middle,yes,not assessed,not assessed,
Sunless 01,12,15,5.5,A4,69,i,Godin band midpoint,0.366,above,G3,14,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,12,middle,no,not assessed,not assessed,
Sunless 01,12,15,6,A4,69,ɪ,Godin band midpoint,0.366,close,A#3,11.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,12,last,no,not assessed,not assessed,
Sunless 01,12,16,1,A4,69,o,Godin band midpoint,1.098,close,A#3,11.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,yes,13,first,yes,not assessed,not assessed,
Sunless 01,12,16,2.5,F4,65,ɑ,Godin band midpoint,0.366,close,F4,0.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,13,middle,no,not assessed,not assessed,
Sunless 01,12,16,3,F4,65,ɑ,Godin band midpoint,0.366,close,F4,0.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,13,last,no,not assessed,not assessed,
Sunless 01,12,16,4,G4,67,o,Godin band midpoint,0.732,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,yes,14,first,yes,not assessed,not assessed,
Sunless 01,12,16,5,D4,62,ɑ,Godin band midpoint,0.732,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-5,no,14,middle,no,not assessed,not assessed,
Sunless 01,12,16,6,D4,62,ɑ,Godin band midpoint,0.366,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,14,last,no,not assessed,not assessed,
Sunless 01,12,17,1,E4,64,o,Godin band midpoint,1.463,close,A#3,6.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,yes,15,only,yes,not assessed,not assessed,
Sunless 01,12,17,4,E4,64,ʌ,Godin band midpoint,1.098,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,yes,16,first,no,not assessed,not assessed,
Sunless 01,12,17,5.5,E4,64,i,Godin band midpoint,1.098,close,G3,9,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,16,middle,no,not assessed,not assessed,
Sunless 01,12,18,1,F#4,66,o,Godin band midpoint,1.098,close,A#3,8.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,16,middle,yes,not assessed,not assessed,
Sunless 01,12,18,2.5,D4,62,ɑ,Godin band midpoint,0.366,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,16,middle,no,not assessed,not assessed,
Sunless 01,12,18,3,D4,62,ɑ,Godin band midpoint,0.732,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,16,last,no,not assessed,not assessed,
Sunless 02,12,1,2.5,A#4,70,i,Godin band midpoint,0.25,above,G3,15,not assessed,not assessed,not assessed,none,not assessed,short,first note,,,0,first,yes,not assessed,not assessed,
Sunless 02,12,2,1,A4,69,ɑ,Godin band midpoint,0.25,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,0,last,no,not assessed,not assessed,
Sunless 02,12,2,2,F#4,66,ɨ,not assessed,0.375,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,short,leap-down,-3,yes,1,first,yes,not assessed,not assessed,
Sunless 02,12,2,2.75,D4,62,ɑ,Godin band midpoint,0.125,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,1,middle,no,not assessed,not assessed,
Sunless 02,12,2,3,C#4,61,ɛ,Godin band midpoint,0.5,open,F4,-3.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,1,middle,no,not assessed,not assessed,
Sunless 02,12,2,4,D4,62,ɪ,Godin band midpoint,0.25,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,1,middle,no,not assessed,not assessed,
Sunless 02,12,2,4.5,D4,62,u,Godin band midpoint,0.25,close,G3,7,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,1,middle,no,not assessed,not assessed,
Sunless 02,12,3,1,F#4,66,ɑ,Godin band midpoint,0.5,close,F4,1.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,4,no,1,middle,yes,not assessed,not assessed,
Sunless 02,12,3,2,D4,62,ɑ,Godin band midpoint,0.25,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,1,last,no,not assessed,not assessed,
Sunless 02,12,3,2.75,D4,62,o,Godin band midpoint,0.125,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,yes,2,first,no,not assessed,not assessed,
Sunless 02,12,3,3,F4,65,ɑ,Godin band midpoint,0.167,close,F4,0.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,2,middle,yes,not assessed,not assessed,
Sunless 02,12,3,3.333,D4,62,ɪ,Godin band midpoint,0.167,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,2,middle,no,not assessed,not assessed,
Sunless 02,12,3,3.667,F4,65,ɑ,Godin band midpoint,0.167,close,F4,0.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,2,middle,yes,not assessed,not assessed,
Sunless 02,12,3,4,E4,64,ɑ,Godin band midpoint,0.167,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,2,middle,no,not assessed,not assessed,
Sunless 02,12,3,4.333,E4,64,i,Godin band midpoint,0.167,close,G3,9,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,2,middle,no,not assessed,not assessed,
Sunless 02,12,3,4.667,F4,65,ɪ,Godin band midpoint,0.167,close,A#3,7.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,2,middle,yes,not assessed,not assessed,
