song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,14,7,3,A4,69,u,Bozeman tenor-mezzo midpoint,0.732,above,G3,14.5,inside,5,-7,none,not assessed,short,repeated,0,no,6,middle,no,no,no,
Sunless 01,14,7,4,C5,72,ɨ,derived from Bozeman tenor-mezzo,1.098,above,A#3,14.11,inside,8,-4,none,not assessed,short,leap-up,3,no,6,middle,yes,no,no,highest of phrase
Sunless 01,14,7,5.5,E4,64,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-0.5,inside,0,-12,none,not assessed,short,leap-down,-8,no,6,middle,no,yes,no,
Sunless 01,14,7,6,E4,64,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-0.5,inside,0,-12,none,not assessed,short,repeated,0,no,6,last,no,yes,no,
Sunless 01,14,8,1,F#4,66,u,Bozeman tenor-mezzo midpoint,0.732,close,G3,11.5,inside,2,-10,none,not assessed,short,step,2,yes,7,first,no,no,no,
Sunless 01,14,8,2,D#4,63,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,0.96,below primo,-1,-13,none,not assessed,short,leap-down,-3,no,7,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 01,14,8,3,E4,64,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,1.96,inside,0,-12,none,not assessed,short,step,1,no,7,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 01,14,8,4,G#4,68,ɛ,Bozeman tenor-mezzo midpoint,0.732,close,D#4,5.5,inside,4,-8,none,not assessed,short,leap-up,4,no,7,middle,yes,no,no,highest of phrase
Sunless 01,14,8,5,E4,64,ɨ,derived from Bozeman tenor-mezzo,0.366,close,A#3,6.11,inside,0,-12,none,not assessed,short,leap-down,-4,no,7,last,no,yes,no,
Sunless 01,14,8,6.5,D#4,63,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-1.5,below primo,-1,-13,none,not assessed,short,step,-1,yes,8,first,no,yes,no,
