song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,5,6,4,G4,67,o,Bozeman tenor-mezzo midpoint,1.098,close,C#4,6.5,inside,5,0,none,not assessed,short,leap-up,5,no,5,middle,yes,yes,yes,highest of phrase
Sunless 01,5,6,5.5,C#4,61,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-3.5,below primo,-1,-6,none,not assessed,short,leap-down,-6,no,5,middle,no,no,no,
Sunless 01,5,6,6,C#4,61,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-3.5,below primo,-1,-6,none,not assessed,short,repeated,0,no,5,last,no,no,no,
Sunless 01,5,7,1,C4,60,e,Bozeman tenor-mezzo midpoint,0.732,open,D4,-1.5,below primo,-2,-7,none,not assessed,short,step,-1,yes,6,first,no,no,no,
Sunless 01,5,7,2,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,repeated,0,no,6,middle,no,no,no,
Sunless 01,5,7,3,C4,60,u,Bozeman tenor-mezzo midpoint,0.732,close,G3,5.5,below primo,-2,-7,none,not assessed,short,repeated,0,no,6,middle,no,no,no,
Sunless 01,5,7,4,D#4,63,ɨ,derived from Bozeman tenor-mezzo,1.098,close,A#3,5.11,inside,1,-4,none,not assessed,short,leap-up,3,no,6,middle,yes,no,no,highest of phrase
Sunless 01,5,7,5.5,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,leap-down,-8,no,6,middle,no,no,no,
Sunless 01,5,7,6,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,repeated,0,no,6,last,no,no,no,
Sunless 01,5,8,1,A3,57,u,Bozeman tenor-mezzo midpoint,0.732,close,G3,2.5,below primo,-5,-10,none,not assessed,short,step,2,yes,7,first,no,no,no,
Sunless 01,5,8,2,F#3,54,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-8.04,below primo,-8,-13,none,not assessed,short,leap-down,-3,no,7,middle,no,no,no,
Sunless 01,5,8,3,G3,55,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-7.04,below primo,-7,-12,3,not assessed,short,step,1,no,7,middle,no,no,no,
Sunless 01,5,8,4,B3,59,ɛ,Bozeman tenor-mezzo midpoint,0.732,open,D#4,-3.5,below primo,-3,-8,none,not assessed,short,leap-up,4,no,7,middle,yes,no,no,highest of phrase
Sunless 01,5,8,5,G3,55,ɨ,derived from Bozeman tenor-mezzo,0.366,open,A#3,-2.89,below primo,-7,-12,none,not assessed,short,leap-down,-4,no,7,last,no,no,no,
Sunless 01,5,8,6.5,F#3,54,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-10.5,below primo,-8,-13,none,not assessed,short,step,-1,yes,8,first,no,no,no,
Sunless 01,5,9,1,A3,57,ɛ,Bozeman tenor-mezzo midpoint,0.732,open,D#4,-5.5,below primo,-5,-10,none,not assessed,short,leap-up,3,no,8,middle,no,no,no,
Sunless 01,5,9,2,F#3,54,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-10.5,below primo,-8,-13,none,not assessed,short,leap-down,-3,no,8,middle,no,no,no,
Sunless 01,5,9,3,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,step,1,no,8,middle,no,no,no,
Sunless 01,5,9,4,D4,62,ɛ,Bozeman tenor-mezzo midpoint,1.098,open,D#4,-0.5,inside,0,-5,none,not assessed,short,leap-up,7,no,8,middle,yes,no,no,highest of phrase
Sunless 01,5,9,5.5,B3,59,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-5.5,below primo,-3,-8,none,not assessed,short,leap-down,-3,no,8,middle,no,no,no,
Sunless 01,5,9,6,B3,59,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-5.5,below primo,-3,-8,none,not assessed,short,repeated,0,no,8,last,no,no,no,
Sunless 01,5,10,1,D#4,63,ɨ,derived from Bozeman tenor-mezzo,0.732,close,A#3,5.11,inside,1,-4,none,not assessed,short,leap-up,4,yes,9,first,no,no,no,
Sunless 01,5,10,2,A3,57,ɨ,derived from Bozeman tenor-mezzo,0.732,open,A#3,-0.89,below primo,-5,-10,none,not assessed,short,leap-down,-6,no,9,middle,no,no,no,
Sunless 01,5,10,3,A#3,58,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-6.5,below primo,-4,-9,none,not assessed,short,step,1,no,9,middle,no,no,no,
Sunless 01,5,10,4,C4,60,o,Bozeman tenor-mezzo midpoint,0.732,open,C#4,-0.5,below primo,-2,-7,none,not assessed,short,step,2,no,9,middle,no,no,no,
Sunless 01,5,10,5,D4,62,ʌ,derived from Bozeman tenor-mezzo,0.732,open,E4,-2.5,inside,0,-5,none,not assessed,short,step,2,no,9,middle,no,no,no,
Sunless 01,5,10,6,D#4,63,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-1.5,inside,1,-4,none,not assessed,short,step,1,no,9,middle,no,no,no,
Sunless 01,5,11,1,F4,65,e,Bozeman tenor-mezzo midpoint,0.732,close,D4,3.5,inside,3,-2,none,not assessed,short,step,2,no,9,middle,yes,no,no,highest of phrase
Sunless 01,5,11,2,D#4,63,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,0.96,inside,1,-4,none,not assessed,short,step,-2,no,9,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,5,11,3,F4,65,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,0.5,inside,3,-2,none,not assessed,short,step,2,no,9,middle,yes,no,no,highest of phrase; turning pitch 0 to 2 st below
Sunless 01,5,11,4,C#4,61,e,Bozeman tenor-mezzo midpoint,1.098,open,D4,-0.5,below primo,-1,-6,none,not assessed,short,leap-down,-4,no,9,middle,no,no,no,
Sunless 01,5,11,5.5,C#4,61,i,Bozeman tenor-mezzo midpoint,0.366,close,E3,8.5,below primo,-1,-6,none,not assessed,short,repeated,0,no,9,middle,no,no,no,
Sunless 01,5,11,6,C#4,61,ɪ,derived from Bozeman tenor-mezzo,0.366,open,D4,-1.04,below primo,-1,-6,none,not assessed,short,repeated,0,no,9,last,no,no,no,
Sunless 01,5,12,1,C4,60,o,Bozeman tenor-mezzo midpoint,0.732,open,C#4,-0.5,below primo,-2,-7,none,not assessed,short,step,-1,yes,10,first,no,no,no,
Sunless 01,5,12,2,A3,57,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-5.04,below primo,-5,-10,none,not assessed,short,leap-down,-3,no,10,middle,no,no,no,
Sunless 01,5,12,3,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,leap-up,3,no,10,middle,no,no,no,
Sunless 01,5,12,4,D#4,63,i,Bozeman tenor-mezzo midpoint,0.732,close,E3,10.5,inside,1,-4,none,not assessed,short,leap-up,3,no,10,middle,yes,no,no,highest of phrase
Sunless 01,5,12,5,C4,60,ɨ,derived from Bozeman tenor-mezzo,0.366,close,A#3,2.11,below primo,-2,-7,none,not assessed,short,leap-down,-3,no,10,last,no,no,no,
Sunless 01,5,12,6,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,repeated,0,yes,11,first,no,no,no,
